Time microphone-A_pFluct microphone-B_pFluct microphone-C_pFluct 
0.00454 27.1128 22.5145 14.1422 
0.00455 26.3273 21.9648 13.8653 
0.00456 28.1613 24.253 15.7609 
0.00457 27.2041 22.0386 13.5018 
0.00458 29.0791 23.984 14.9496 
0.00459 27.2767 22.6372 14.2085 
0.0046 28.1547 23.6392 14.9994 
0.00461 27.3002 22.9416 14.5744 
0.00462 28.817 23.5565 14.5523 
0.00463 28.1097 23.2568 14.5462 
0.00464 29.822 24.267 14.9146 
0.00465 27.755 23.7162 15.3012 
0.00466 29.1794 24.1058 15.0467 
0.00467 29.6281 23.8535 14.4998 
0.00468 28.3307 23.6636 14.9363 
0.00469 30.4416 25.2129 15.7688 
0.0047 29.2249 23.6335 14.4344 
0.00471 29.9382 24.9604 15.7152 
0.00472 30.2975 24.3552 14.7755 
0.00473 30.0334 24.7492 15.4025 
0.00474 30.215 24.8939 15.488 
0.00475 29.3556 24.0336 14.8631 
0.00476 31.112 25.1909 15.3919 
0.00477 31.0325 25.6104 15.9548 
0.00478 31.0664 24.7554 14.873 
0.00479 30.5838 25.3244 15.8312 
0.0048 31.0972 25.4737 15.7504 
0.00481 30.914 24.4305 14.547 
0.00482 33.1976 26.8264 16.3435 
0.00483 30.6502 25.4175 15.9116 
0.00484 30.7864 24.655 14.8918 
0.00485 33.0112 26.8532 16.4727 
0.00486 31.6633 25.183 15.0935 
0.00487 31.3794 25.8782 16.1056 
0.00488 33.6539 26.4824 15.6772 
0.00489 30.9605 25.5883 15.9617 
0.0049 32.2018 25.8915 15.6947 
0.00491 33.5637 26.8245 16.149 
0.00492 32.5205 25.8286 15.4507 
0.00493 32.6579 26.4455 16.1469 
0.00494 32.4457 26.2778 16.048 
0.00495 34.0936 26.9246 15.9977 
0.00496 33.149 26.2994 15.7096 
0.00497 32.8146 26.193 15.7504 
0.00498 33.9696 27.5646 16.8578 
0.00499 33.4736 27.0246 16.4429 
0.005 33.4095 26.0964 15.321 
0.00501 33.8293 26.5927 15.7205 
0.00502 34.5219 28.0103 17.125 
0.00503 33.5358 26.2102 15.3964 
0.00504 33.7408 26.7721 15.9891 
0.00505 34.2855 26.9328 15.9063 
0.00506 34.2216 27.2506 16.3347 
0.00507 34.4229 27.3397 16.3409 
0.00508 35.0693 27.8785 16.6758 
0.00509 33.9847 27.2197 16.4185 
0.0051 34.8277 26.9414 15.6347 
0.00511 34.2338 27.0699 16.1025 
0.00512 35.5677 28.2454 16.8731 
0.00513 35.0704 27.4626 16.1567 
0.00514 35.2344 27.9373 16.6622 
0.00515 35.1055 27.5107 16.198 
0.00516 36.028 27.9808 16.3042 
0.00517 33.6692 26.5859 15.792 
0.00518 36.2414 28.3384 16.6381 
0.00519 35.5281 27.725 16.2448 
0.0052 35.0675 27.5235 16.2328 
0.00521 36.0948 28.2725 16.6318 
0.00522 35.4372 28.137 16.8041 
0.00523 35.5987 27.0973 15.4264 
0.00524 36.0194 28.7325 17.2427 
0.00525 35.5111 27.8799 16.4453 
0.00526 36.7632 28.3599 16.3928 
0.00527 35.9505 27.7884 16.1032 
0.00528 36.0643 28.0498 16.3692 
0.00529 35.6157 28.6664 17.369 
0.0053 36.438 27.6659 15.6974 
0.00531 35.0559 27.2555 15.9035 
0.00532 37.7161 29.3474 17.1264 
0.00533 36.985 28.1664 16.0359 
0.00534 35.1951 28.6514 17.5679 
0.00535 37.0699 28.001 15.7857 
0.00536 35.8148 27.7773 16.1584 
0.00537 37.2493 28.9042 16.8162 
0.00538 36.4438 28.3665 16.5649 
0.00539 36.5296 28.364 16.5171 
0.0054 36.9344 28.6631 16.6792 
0.00541 36.756 27.8467 15.7557 
0.00542 36.3418 28.6355 16.952 
0.00543 37.0174 28.7946 16.7992 
0.00544 35.7473 27.5396 15.8964 
0.00545 37.7748 29.2109 16.9241 
0.00546 35.8183 27.6421 15.9868 
0.00547 36.8964 28.6999 16.7437 
0.00548 37.0648 28.931 16.9436 
0.00549 36.2202 27.738 15.8972 
0.0055 37.2248 28.4556 16.2688 
0.00551 37.013 29.3476 17.4885 
0.00552 36.605 28.374 16.4885 
0.00553 36.8705 28.1312 16.0485 
0.00554 36.4861 28.6258 16.8632 
0.00555 36.8748 28.2679 16.2161 
0.00556 37.1838 29.0243 16.9969 
0.00557 36.5731 28.3925 16.5273 
0.00558 36.1544 27.853 16.0731 
0.00559 37.0446 28.5964 16.5362 
0.0056 36.1218 28.3188 16.6694 
0.00561 37.0129 28.6306 16.5949 
0.00562 36.4907 27.7471 15.7663 
0.00563 36.4621 28.3828 16.5719 
0.00564 36.8103 28.7248 16.8167 
0.00565 36.8369 28.5212 16.5495 
0.00566 36.3296 27.9419 16.0917 
0.00567 35.7775 28.0666 16.5331 
0.00568 36.3027 28.0471 16.2363 
0.00569 36.6081 28.7558 16.9595 
0.0057 35.967 28.1025 16.479 
0.00571 36.2401 27.5688 15.673 
0.00572 36.8481 28.9514 17.0779 
0.00573 34.5721 26.9894 15.817 
0.00574 37.1699 28.7818 16.6995 
0.00575 35.1695 28.103 16.8925 
0.00576 35.8661 27.432 15.6961 
0.00577 36.6996 28.4437 16.5224 
0.00578 35.9765 28.3903 16.8308 
0.00579 34.6075 26.9738 15.7782 
0.0058 34.9284 27.542 16.3187 
0.00581 35.3001 27.1773 15.6719 
0.00582 36.1581 28.3355 16.6677 
0.00583 35.101 27.7876 16.5342 
0.00584 34.8161 27.2085 15.9612 
0.00585 34.8627 27.213 15.9425 
0.00586 34.7951 27.336 16.1305 
0.00587 35.8109 28.4295 16.964 
0.00588 33.1903 26.3525 15.7388 
0.00589 35.1056 27.299 15.9227 
0.0059 34.2808 26.6819 15.5825 
0.00591 34.4401 27.2857 16.2511 
0.00592 34.0904 26.9792 16.0509 
0.00593 33.2273 26.5167 15.923 
0.00594 34.4086 26.912 15.8018 
0.00595 33.7629 26.5237 15.6534 
0.00596 33.5117 26.8683 16.2122 
0.00597 33.4891 26.7407 16.065 
0.00598 33.0949 25.8089 15.1099 
0.00599 33.108 26.408 15.8484 
0.006 33.4716 26.6272 15.9322 
0.00601 32.7835 26.4246 16.0369 
0.00602 32.8016 25.608 15.0112 
0.00603 31.9685 25.3898 15.1718 
0.00604 32.6428 26.2837 15.934 
0.00605 31.7589 25.779 15.7642 
0.00606 32.7809 25.7627 15.2136 
0.00607 31.3481 24.9019 14.8856 
0.00608 32.2703 25.7427 15.4532 
0.00609 30.488 25.1678 15.6622 
0.0061 31.9737 25.6822 15.5312 
0.00611 30.8908 24.7402 14.9206 
0.00612 30.523 24.5629 14.8906 
0.00613 31.4136 25.1134 15.1134 
0.00614 30.0973 24.9834 15.6342 
0.00615 30.4168 24.7387 15.1636 
0.00616 29.8579 23.7327 14.2016 
0.00617 30.0828 24.1237 14.5712 
0.00618 29.518 24.0182 14.7327 
0.00619 30.0396 24.9947 15.677 
0.0062 29.1687 23.6288 14.4288 
0.00621 28.8467 23.3407 14.2371 
