Time microphone-A_pFluct microphone-B_pFluct microphone-C_pFluct 
0.0031575 2.57678 0.49593 -0.604727 
0.0031675 2.07472 0.802156 0.036815 
0.0031775 3.55153 2.39517 1.2529 
0.0031875 3.93881 2.19112 0.798082 
0.0031975 1.64802 -0.331359 -1.15223 
0.0032075 3.41763 1.89299 0.697581 
0.0032175 3.19568 1.29045 0.0629997 
0.0032275 3.74989 2.37793 1.12868 
0.0032375 1.63331 0.131415 -0.568649 
0.0032475 2.05229 0.619962 -0.178064 
0.0032575 2.35524 0.94888 0.074077 
0.0032675 4.60774 2.97625 1.42824 
0.0032775 1.64323 -0.168974 -0.947477 
0.0032875 1.44563 -0.0342802 -0.677309 
0.0032975 3.22474 1.08982 -0.201465 
0.0033075 3.39998 1.16735 -0.195831 
0.0033175 0.147909 -0.903338 -1.08528 
0.0033275 3.36463 1.61682 0.381878 
0.0033375 0.77628 -0.165595 -0.493213 
0.0033475 4.46968 1.97343 0.252418 
0.0033575 -0.498459 0.0274223 0.408298 
0.0033675 2.34456 1.40029 0.641648 
0.0033775 0.688448 -0.673605 -1.07978 
0.0033875 0.959462 0.381163 0.0921002 
0.0033975 0.711369 -0.227746 -0.536875 
0.0034075 2.71568 0.41183 -0.780775 
0.0034175 1.63343 1.84152 1.55965 
0.0034275 -0.635435 -1.94438 -1.97419 
0.0034375 1.37808 0.941975 0.572793 
0.0034475 0.979459 -0.13683 -0.562795 
0.0034575 1.95784 0.862181 0.17274 
0.0034675 0.327308 -1.16779 -1.50728 
0.0034775 3.04183 1.25151 0.0949386 
0.0034875 -1.45607 -2.03027 -1.65522 
0.0034975 0.0836757 -0.658917 -0.747572 
0.0035075 0.664865 -0.498652 -0.849633 
0.0035175 0.838141 -0.453828 -0.88371 
0.0035275 -0.0088988 0.066917 0.203678 
0.0035375 -0.640344 -1.26947 -1.13166 
0.0035475 -2.52917 -2.77269 -2.02225 
0.0035575 1.16801 0.396878 0.00370408 
0.0035675 1.10269 0.719774 0.43935 
0.0035775 -1.47546 -1.70669 -1.24249 
0.0035875 0.047518 -1.39397 -1.64342 
0.0035975 -0.58373 -0.641693 -0.379857 
0.0036075 -0.567563 -0.724916 -0.491827 
0.0036175 -3.82321 -3.63228 -2.42058 
0.0036275 -0.872983 -1.05053 -0.738573 
0.0036375 0.907144 0.061008 -0.278957 
0.0036475 -1.19209 -1.32122 -0.909877 
0.0036575 -1.2402 -1.45975 -1.0573 
0.0036675 -1.85711 -2.2448 -1.71412 
0.0036775 -0.659858 -2.10799 -2.16493 
0.0036875 -2.14337 -2.19162 -1.49934 
0.0036975 -0.975396 -2.30306 -2.24388 
0.0037075 -2.27831 -1.34066 -0.370423 
0.0037175 -2.16178 -2.7099 -2.13466 
0.0037275 -1.68618 -1.87719 -1.34522 
0.0037375 -2.27993 -2.25789 -1.51092 
0.0037475 -1.86499 -1.91234 -1.29622 
0.0037575 -4.62773 -4.24398 -2.76427 
0.0037675 -2.51424 -1.50649 -0.454429 
0.0037775 -0.962018 -1.16627 -0.836393 
0.0037875 -2.87237 -3.2119 -2.39076 
0.0037975 -2.81772 -2.52942 -1.56989 
0.0038075 -5.57705 -5.38617 -3.6931 
0.0038175 -0.428079 0.551682 1.02427 
0.0038275 -5.27922 -5.69291 -4.22936 
0.0038375 -1.86471 -2.00164 -1.40756 
0.0038475 -3.99858 -4.11073 -2.92493 
0.0038575 -2.73751 -2.47655 -1.54567 
0.0038675 -3.22962 -3.06594 -2.02377 
0.0038775 -3.05416 -3.10396 -2.1621 
0.0038875 -4.08606 -4.35995 -3.1896 
0.0038975 -3.8329 -3.95141 -2.81253 
0.0039075 -5.82326 -4.18238 -2.06739 
0.0039175 -5.66186 -5.30857 -3.55247 
0.0039275 -3.8001 -3.53143 -2.30696 
0.0039375 -2.99843 -2.0363 -0.862469 
0.0039475 -6.61373 -6.38256 -4.39507 
0.0039575 -4.083 -3.37296 -1.96304 
0.0039675 -4.13324 -3.88717 -2.57682 
0.0039775 -4.35745 -4.10291 -2.72894 
0.0039875 -4.61689 -3.57345 -1.93555 
0.0039975 -7.7574 -6.82654 -4.35422 
0.0040075 -5.05518 -4.87666 -3.32975 
0.0040175 -4.19582 -3.52343 -2.0917 
0.0040275 -6.5991 -5.6777 -3.52555 
0.0040375 -5.58186 -5.25611 -3.52865 
0.0040475 -5.58659 -5.60169 -3.95616 
0.0040575 -6.46762 -5.19229 -2.98967 
0.0040675 -3.01311 -2.97124 -2.01808 
0.0040775 -8.62106 -7.6332 -4.90975 
0.0040875 -6.3758 -5.80868 -3.80421 
0.0040975 -6.25077 -4.91652 -2.75895 
0.0041075 -9.06565 -7.81629 -4.9069 
0.0041175 -4.48749 -4.2232 -2.81096 
0.0041275 -9.15947 -7.11838 -3.98978 
0.0041375 -4.68656 -4.58671 -3.16 
0.0041475 -7.83987 -5.74847 -2.96977 
0.0041575 -7.02249 -6.24412 -4.01057 
0.0041675 -7.95797 -6.6409 -4.01897 
0.0041775 -7.23327 -6.2787 -3.94423 
0.0041875 -8.99134 -7.50814 -4.56198 
0.0041975 -5.02434 -4.05175 -2.31913 
0.0042075 -10.6057 -9.0978 -5.70255 
0.0042175 -5.85435 -5.50263 -3.69384 
0.0042275 -8.09588 -6.95814 -4.34208 
0.0042375 -8.89776 -7.87671 -5.06904 
0.0042475 -9.10755 -8.47927 -5.70991 
0.0042575 -7.70009 -6.0612 -3.43119 
0.0042675 -10.2109 -9.5858 -6.51432 
0.0042775 -8.92348 -7.35988 -4.41239 
0.0042875 -6.86341 -6.07261 -3.8793 
0.0042975 -9.40246 -7.63921 -4.51144 
0.0043075 -10.7155 -8.97043 -5.4867 
0.0043175 -8.06812 -7.18502 -4.63847 
0.0043275 -9.59785 -7.42945 -4.14902 
0.0043375 -9.21919 -8.05519 -5.12407 
0.0043475 -9.70916 -8.25186 -5.11457 
0.0043575 -10.1099 -8.67492 -5.43306 
0.0043675 -8.98114 -7.20302 -4.18711 
0.0043775 -11.1213 -9.54265 -5.98808 
0.0043875 -9.09541 -7.65503 -4.69023 
0.0043975 -11.2193 -9.74569 -6.18982 
0.0044075 -10.8326 -9.36362 -5.91494 
0.0044175 -10.117 -8.6522 -5.40087 
0.0044275 -7.57484 -6.58888 -4.15224 
0.0044375 -10.9095 -9.11261 -5.56264 
0.0044475 -11.9527 -10.3529 -6.5647 
0.0044575 -10.8453 -9.68451 -6.30742 
0.0044675 -11.5772 -9.98136 -6.29703 
0.0044775 -11.1222 -8.57966 -4.78891 
0.0044875 -9.87922 -8.74198 -5.63568 
0.0044975 -11.9004 -10.6328 -6.93979 
0.0045075 -11.3082 -8.55102 -4.65665 
0.0045175 -14.3375 -12.1797 -7.60026 
0.0045275 -8.51935 -7.11303 -4.31406 
0.0045375 -10.7891 -8.92819 -5.39518 
0.0045475 -12.4429 -10.8873 -6.97493 
0.0045575 -12.8443 -10.6207 -6.43488 
0.0045675 -14.3765 -11.9494 -7.29331 
0.0045775 -10.2053 -8.73672 -5.45961 
0.0045875 -11.8504 -9.92179 -6.08076 
0.0045975 -13.5196 -11.4682 -7.13903 
0.0046075 -10.2618 -9.16355 -5.96127 
0.0046175 -12.7711 -10.8537 -6.76249 
0.0046275 -12.6855 -11.3689 -7.44789 
0.0046375 -11.9407 -10.1984 -6.37779 
0.0046475 -12.168 -9.98501 -5.9942 
0.0046575 -13.9992 -11.7664 -7.26086 
0.0046675 -12.7019 -10.9868 -6.96371 
0.0046775 -12.6112 -10.1751 -6.0006 
0.0046875 -13.7883 -11.7125 -7.30306 
0.0046975 -13.6835 -11.2631 -6.79813 
0.0047075 -10.9048 -9.25245 -5.73774 
0.0047175 -14.9216 -12.7872 -8.05215 
0.0047275 -14.6017 -11.8323 -7.02984 
0.0047375 -11.6832 -9.93555 -6.18375 
0.0047475 -13.8014 -11.8465 -7.46266 
0.0047575 -15.8871 -13.0044 -7.82134 
0.0047675 -12.3703 -10.3469 -6.33892 
0.0047775 -13.7783 -12.3494 -8.10023 
